standard_land_value;type;district;geometry
350;W;Sprakel;MultiPolygon (((404875.21119999978691339 5766524.9078999999910593, 404882.99000000022351742 5766524.3522999994456768, 404888.08330000005662441 5766524.3522999994456768, 404893.91729999985545874 5766524.53749999962747097, 404899.38100000005215406 5766524.81530000083148479, 404902.65560000017285347 5766525.41559999994933605, 404904.93719999957829714 5766525.83390000090003014, 404908.91920000035315752 5766526.48220000043511391, 404914.75329999998211861 5766528.14900000020861626, 404919.75389999989420176 5766529.90850000083446503, 404924.66199999954551458 5766532.03839999996125698, 404930.21820000000298023 5766534.9090999998152256, 404935.44710000045597553 5766538.00369999930262566, 404937.81900000013411045 5766532.00300000049173832, 404947.64499999955296516 5766507.14399999938905239, 404955.26599999982863665 5766487.86299999989569187, 404962.89199999999254942 5766468.56900000013411045, 404963.1344999996945262 5766467.95549999922513962, 404963.57770000025629997 5766466.83420000039041042, 404964.34839999955147505 5766464.88409999944269657, 404970.51200000010430813 5766449.28999999910593033, 404978.13599999994039536 5766430, 404985.48099999967962503 5766411.41799999959766865, 404990.91019999980926514 5766399.58060000091791153, 404991.55080000031739473 5766398.18390000052750111, 404993.83200000040233135 5766393.21000000089406967, 405002.17599999997764826 5766375.01799999922513962, 405007.62200000043958426 5766363.14200000092387199, 405013.06099999975413084 5766351.28399999998509884, 405013.47900000028312206 5766350.37199999950826168, 405015.1226000003516674 5766346.78859999962151051, 405025.23029999993741512 5766351.83029999956488609, 405051.06689999997615814 5766364.98020000010728836, 405068.01350000035017729 5766373.87020000070333481, 405128.64360000006854534 5766404.61390000022947788, 405164.92140000034123659 5766422.58320000022649765, 405219.87370000034570694 5766450.73220000043511391, 405315.63790000043809414 5766499.02749999985098839, 405316.1650000000372529 5766487.13450000062584877, 405321.33899999968707561 5766487.22699999995529652, 405337.51200000010430813 5766487.51600000075995922, 405346.56599999964237213 5766476.87099999934434891, 405351.6131999995559454 5766470.93810000084340572, 405353.2099999999627471 5766469.06100000068545341, 405355.06400000024586916 5766464.2890000008046627, 405355.57610000018030405 5766463.38560000061988831, 405356.50600000005215406 5766461.74499999918043613, 405369.30590000003576279 5766439.11600000038743019, 405370.86440000031143427 5766436.352700000628829, 405374.29100000020116568 5766430.27700000070035458, 405372.446000000461936 5766429.80000000074505806, 405374.08600000012665987 5766376.65479999966919422, 405374.16590000037103891 5766374.06430000066757202, 405374.196000000461936 5766373.08799999952316284, 405374.49399999994784594 5766363.43099999986588955, 405374.75200000032782555 5766355.0840000007301569, 405375.12200000043958426 5766343.07899999991059303, 405376.36589999962598085 5766301.53930000029504299, 405376.45449999999254942 5766298.57980000041425228, 405377.15400000009685755 5766275.22199999913573265, 405377.21399999968707561 5766273.21800000034272671, 405377.70700000040233135 5766255.19099999964237213, 405378.00839999970048666 5766244.17400000058114529, 405378.08999999985098839 5766241.19400000013411045, 405378.37370000034570694 5766230.80619999952614307, 405378.41629999969154596 5766229.24829999916255474, 405378.46740000043064356 5766227.3773999996483326, 405378.5849999999627471 5766223.07300000078976154, 405378.59609999973326921 5766222.66300000064074993, 405379.18599999975413084 5766201.08699999935925007, 405379.52900000009685755 5766188.56599999964237213, 405379.89080000016838312 5766175.35300000011920929, 405380.02199999988079071 5766170.55700000002980232, 405380.39910000003874302 5766156.76039999909698963, 405380.47099999990314245 5766154.13150000013411045, 405380.51400000043213367 5766152.55700000002980232, 405380.75439999997615814 5766143.77199999988079071, 405380.84900000039488077 5766140.3169999998062849, 405381.00700000021606684 5766134.54700000025331974, 405381.02649999968707561 5766133.83430000022053719, 405381.22599999979138374 5766126.53600000031292439, 405381.25600000005215406 5766125.07699999958276749, 405381.32359999977052212 5766121.83799999952316284, 405381.35300000011920929 5766120.36500000022351742, 405381.47130000032484531 5766114.77700000070035458, 405381.59999999962747097 5766108.61700000055134296, 405381.83299999963492155 5766097.53500000014901161, 405381.98000000044703484 5766090.51700000092387199, 405382.13509999960660934 5766083.09889999963343143, 405382.1780000003054738 5766081.04700000025331974, 405382.35599999967962503 5766072.53299999982118607, 405382.73400000017136335 5766054.52300000004470348, 405383.11099999956786633 5766036.51899999938905239, 405383.48799999989569187 5766018.51799999922513962, 405383.62710000015795231 5766011.88440000079572201, 405383.67939999978989363 5766009.38910000026226044, 405383.81199999991804361 5766003.0669999998062849, 405383.90679999999701977 5765999.01439999975264072, 405428.16889999993145466 5766005.06000000052154064, 405428.32799999974668026 5766001.16699999943375587, 405429.43200000002980232 5765974.14499999955296516, 405429.55499999970197678 5765971.13599999994039536, 405430.375 5765951.14470000006258488, 405430.49370000045746565 5765948.25229999981820583, 405430.58440000005066395 5765946.04109999909996986, 405430.89900000020861626 5765938.37099999934434891, 405431.12999999988824129 5765932.73799999989569187, 405431.54899999964982271 5765922.5130000002682209, 405431.76200000010430813 5765917.303999999538064, 405431.83999999985098839 5765915.40599999949336052, 405431.96499999985098839 5765912.35899999924004078, 405432.45600000023841858 5765900.27400000020861626, 405432.64680000022053719 5765895.58200000040233135, 405432.82699999958276749 5765891.14699999988079071, 405432.82899999991059303 5765891.09750000014901161, 405432.89049999974668026 5765889.58449999988079071, 405433.10300000011920929 5765884.35500000044703484, 405433.31599999964237213 5765879.10400000028312206, 405435.223000000230968 5765832.43400000035762787, 405435.49579999968409538 5765825.75579999946057796, 405435.53459999989718199 5765824.80480000004172325, 405435.57899999991059303 5765823.71810000017285347, 405436.43400000035762787 5765802.78800000064074993, 405435.70299999974668026 5765790.88700000010430813, 405429.90899999998509884 5765789.78999999910593033, 405423.86000000033527613 5765788.946000000461936, 405398.14360000006854534 5765715.86109999939799309, 405397.92190000042319298 5765715.23090000078082085, 405397.27909999992698431 5765713.40430000051856041, 405392.65400000009685755 5765700.25999999977648258, 405391.9869999997317791 5765698.36590000055730343, 405392.32870000042021275 5765698.31120000034570694, 405393.45500000007450581 5765698.13099999912083149, 405388.64400000032037497 5765651.84600000083446503, 405380.1919999998062849 5765653.15799999982118607, 405358.37509999983012676 5765579.96179999969899654, 405357.88370000012218952 5765578.31320000067353249, 405354.78799999970942736 5765567.92699999921023846, 405352.32450000010430813 5765559.66180000081658363, 405327.97379999980330467 5765564.97780000045895576, 405316.86120000015944242 5765567.66330000013113022, 405309.63810000009834766 5765569.33019999973475933, 405301.80360000021755695 5765572.47379999980330467, 405293.98799999989569187 5765574.33080000057816505, 405283.15330000035464764 5765577.01630000025033951, 405251.92939999978989363 5765583.67200000025331974, 405248.69110000040382147 5765584.36219999939203262, 405247.96389999985694885 5765584.51860000006854534, 405239.44400000013411045 5765586.36940000019967556, 405231.66519999969750643 5765587.20280000008642673, 405219.71929999999701977 5765587.85109999962151051, 405209.99579999968409538 5765588.03629999980330467, 405198.8832999998703599 5765588.22149999998509884, 405191.66019999980926514 5765587.758500000461936, 405175.63960000034421682 5765588.22149999998509884, 405152.87899999972432852 5765589.22980000078678131, 405146.37660000007599592 5765589.51789999939501286, 405043.22130000032484531 5765594.27649999968707561, 404954.22259999997913837 5765598.22269999980926514, 404917.910500000230968 5765599.59300000034272671, 404910.05030000023543835 5765599.88959999941289425, 404793.91889999993145466 5765605.37509999983012676, 404795.12999999988824129 5765610.82399999909102917, 404795.57299999985843897 5765612.81709999963641167, 404795.77900000009685755 5765613.74400000087916851, 404796.3868000004440546 5765616.46499999985098839, 404799.15099999960511923 5765628.84100000001490116, 404801.64180000033229589 5765639.99400000087916851, 404802.5669999998062849 5765644.13700000010430813, 404803.93699999991804361 5765650.27099999971687794, 404809.04200000036507845 5765673.18600000068545341, 404809.17970000021159649 5765673.80330000072717667, 404809.38740000035613775 5765674.73499999940395355, 404815.2630000002682209 5765701.09699999913573265, 404818.26900000032037497 5765714.53099999949336052, 404821.78500000014901161 5765730.31100000068545341, 404823.82369999960064888 5765739.45710000023245811, 404824.56670000031590462 5765742.790200000628829, 404825.83000000007450581 5765748.446000000461936, 404832.73149999976158142 5765779.34730000048875809, 404834.03399999998509884 5765785.178999999538064, 404834.32400000002235174 5765786.47599999979138374, 404834.6860999995842576 5765788.09720000065863132, 404834.00009999983012676 5765788.47289999946951866, 404833.34869999997317791 5765792.48900000005960464, 404832.89400000032037497 5765795.29199999943375587, 404833.22699999995529652 5765795.92600000090897083, 404839.48120000027120113 5765807.81230000033974648, 404840.3349999999627471 5765809.43500000052154064, 404848.00999999977648258 5765824.02099999971687794, 404849.62100000027567148 5765827.08300000056624413, 404881.14120000042021275 5765810.6330999992787838, 404884.23900000005960464 5765825.43070000037550926, 404875.71499999985098839 5765829.8169999998062849, 404861.69000000040978193 5765837.03399999998509884, 404854.72630000021308661 5765840.61869999952614307, 404851.87600000016391277 5765842.0859999991953373, 404814.15099999960511923 5765862.57599999941885471, 404811.36699999962002039 5765863.80499999970197678, 404793.46920000016689301 5765874.20229999907314777, 404791.1460999995470047 5765875.55179999954998493, 404778.59499999973922968 5765882.84300000034272671, 404769.776999999769032 5765887.96600000001490116, 404759.25299999956041574 5765894.08000000007450581, 404748.72900000028312206 5765900.19400000013411045, 404733.3030000003054738 5765909.15499999932944775, 404728.48300000000745058 5765911.95600000023841858, 404703.93599999975413084 5765926.21600000001490116, 404705.39580000005662441 5765932.15640000067651272, 404705.98300000000745058 5765934.54600000008940697, 404708.35599999967962503 5765944.20199999958276749, 404710.723000000230968 5765953.83300000056624413, 404713.59999999962747097 5765965.53999999910593033, 404705.63300000037997961 5765967.64800000004470348, 404707.95000000018626451 5765975.82200000062584877, 404710.41199999954551458 5765984.50300000049173832, 404712.47680000029504299 5765991.78700000047683716, 404712.79480000026524067 5765992.90870000049471855, 404713.76400000043213367 5765996.32799999974668026, 404714.38599999994039536 5765998.52199999988079071, 404713.07000000029802322 5766009.57000000029802322, 404711.39599999971687794 5766023.61299999989569187, 404709.71300000045448542 5766037.73499999940395355, 404707.93560000043362379 5766052.64890000037848949, 404707.6993000004440546 5766054.63159999996423721, 404707.36699999962002039 5766057.41999999992549419, 404706.36099999956786633 5766065.85700000077486038, 404712.58999999985098839 5766066.59999999962747097, 404717.35400000028312206 5766067.34300000034272671, 404722.09900000039488077 5766068.20199999958276749, 404719.75200000032782555 5766078.46299999952316284, 404717.40099999960511923 5766088.73799999989569187, 404713.48500000033527613 5766105.85799999907612801, 404740.10099999979138374 5766114.54900000058114529, 404742.48159999959170818 5766115.32630000077188015, 404743.38929999992251396 5766115.6226000003516674, 404745.26709999982267618 5766116.23570000007748604, 404747.70299999974668026 5766117.03099999949336052, 404777.20399999991059303 5766126.66499999910593033, 404808.67999999970197678 5766139.36500000022351742, 404812.31799999997019768 5766140.80849999934434891, 404809.72510000038892031 5766151.55059999972581863, 404806.90020000003278255 5766161.38990000076591969, 404802.12889999989420176 5766176.34420000016689301, 404796.00729999970644712 5766193.17870000004768372, 404786.34049999993294477 5766218.42019999958574772, 404811.69500000029802322 5766228.48499999940395355, 404821.97900000028312206 5766232.5669999998062849, 404825.303999999538064 5766233.8880000002682209, 404821.51999999955296516 5766238.50899999961256981, 404820.76499999966472387 5766239.43500000052154064, 404811.09389999974519014 5766251.30250000022351742, 404810.09759999997913837 5766252.52500000037252903, 404806.76699999999254942 5766256.6119999997317791, 404803.69900000002235174 5766260.37299999967217445, 404790.70299999974668026 5766289.90399999916553497, 404789.33299999963492155 5766297.40200000070035458, 404789.02550000045448542 5766299.0852000005543232, 404788.27599999960511923 5766303.18700000084936619, 404787.72379999980330467 5766306.2109999991953373, 404786.83899999968707561 5766311.053999999538064, 404785.82299999985843897 5766313.48100000061094761, 404779.96499999985098839 5766327.47299999929964542, 404774.71499999985098839 5766340.01060000061988831, 404774.28369999956339598 5766341.04079999960958958, 404767.37899999972432852 5766357.52999999932944775, 404758.7630000002682209 5766378.10899999924004078, 404754.13399999961256981 5766389.38000000081956387, 404748.42499999981373549 5766403.2760000005364418, 404747.5849999999627471 5766405.32399999909102917, 404745.96239999961107969 5766409.13939999975264072, 404744.60149999987334013 5766412.3392999991774559, 404743.75009999983012676 5766414.34119999967515469, 404741.84399999957531691 5766418.82300000078976154, 404727.68499999959021807 5766452.11400000005960464, 404719.07899999991059303 5766470.28600000031292439, 404711.6119999997317791 5766485.98599999956786633, 404719.42530000023543835 5766495.52339999936521053, 404727.64099999982863665 5766505.55199999921023846, 404739.24199999962002039 5766519.71299999952316284, 404741.598000000230968 5766522.58799999952316284, 404743.40000000037252903 5766524.78800000064074993, 404751.9330000001937151 5766535.20299999974668026, 404761.40010000020265579 5766546.75899999961256981, 404762.01699999999254942 5766547.51209999993443489, 404762.82639999967068434 5766548.50009999983012676, 404774.36600000038743019 5766562.5859999991953373, 404777.56639999989420176 5766566.49259999953210354, 404784.19290000014007092 5766558.72250000014901161, 404791.33129999972879887 5766550.14189999923110008, 404796.81140000000596046 5766544.51769999973475933, 404802.14719999954104424 5766539.97499999962747097, 404808.63669999968260527 5766536.00919999927282333, 404815.77520000003278255 5766533.125, 404824.5 5766530.60129999928176403, 404833.80159999988973141 5766529.08709999918937683, 404844.74440000019967556 5766527.59339999966323376, 404856.78299999982118607 5766526.29690000042319298, 404866.59900000039488077 5766525.55609999969601631, 404875.21119999978691339 5766524.9078999999910593)))
340;W;Nienberge;MultiPolygon (((401398.5014000004157424 5764797.35009999945759773, 401399.42619999963790178 5764760.54169999994337559, 401407.08000000007450581 5764763.05000000074505806, 401440.65110000036656857 5764774.05199999921023846, 401448.61560000013560057 5764776.66220000013709068, 401452.28679999988526106 5764777.86529999971389771, 401453.45449999999254942 5764778.24799999967217445, 401469.87000000011175871 5764730.81900000013411045, 401502.24000000022351742 5764741.63499999977648258, 401532.08000000007450581 5764750.76799999922513962, 401539.58800000045448542 5764753.06599999964237213, 401539.59850000031292439 5764753.02850000001490116, 401543.01549999974668026 5764754.05590000003576279, 401544.2982999999076128 5764754.44160000048577785, 401556.66899999976158142 5764758.16100000031292439, 401558.59100000001490116 5764742.50200000032782555, 401561.41799999959766865 5764719.09100000001490116, 401561.98440000042319298 5764714.40020000003278255, 401545.92750000022351742 5764710.30199999921023846, 401532.22209999989718199 5764707.15350000001490116, 401518.14620000030845404 5764703.91229999996721745, 401501.75519999954849482 5764700.67109999991953373, 401486.56809999980032444 5764698.26339999958872795, 401473.14049999974668026 5764696.31870000064373016, 401457.39769999962300062 5764694.28140000067651272, 401452.21190000046044588 5764694.18879999965429306, 401448.87810000032186508 5764695.20749999955296516, 401431.65369999967515469 5764703.91229999996721745, 401396.65299999993294477 5764721.5989999994635582, 401393.96380000002682209 5764710.20940000005066395, 401388.77790000010281801 5764693.54059999994933605, 401383.03639999963343143 5764675.39020000025629997, 401377.57280000019818544 5764658.35099999979138374, 401372.95710000023245811 5764644.96040000021457672, 401380.31199999991804361 5764642.49400000087916851, 401408.74799999967217445 5764632.95800000056624413, 401416.72599999979138374 5764634.47699999995529652, 401443.09929999988526106 5764639.38279999978840351, 401444.24000000022351742 5764639.59500000067055225, 401475.15699999965727329 5764645.41000000014901161, 401480.36359999980777502 5764646.40499999932944775, 401486.75329999998211861 5764635.57029999978840351, 401492.86519999988377094 5764625.66159999929368496, 401495.64329999964684248 5764620.10539999976754189, 401497.95839999988675117 5764614.73430000059306622, 401500.36620000004768372 5764607.14079999923706055, 401502.12559999991208315 5764601.21409999951720238, 401505.84499999973922968 5764601.76099999994039536, 401507.86000000033527613 5764602.04600000008940697, 401526.98500000033527613 5764601.78600000031292439, 401537.85699999984353781 5764600.43899999931454659, 401557.4469999996945262 5764598.01200000010430813, 401562.91940000001341105 5764597.14919999986886978, 401563.76119999960064888 5764597.01649999991059303, 401564.6780000003054738 5764596.87199999950826168, 401567.45160000026226044 5764596.43480000086128712, 401584.86600000038743019 5764593.68999999947845936, 401587.14400000032037497 5764593.41799999959766865, 401596.00800000037997961 5764592.36099999956786633, 401626.47200000006705523 5764588.68700000084936619, 401618.67499999981373549 5764540.87600000016391277, 401616.21920000016689301 5764525.81709999963641167, 401605.00910000037401915 5764529.26050000078976154, 401598.61940000019967556 5764532.87209999933838844, 401545.74230000004172325 5764549.2630000002682209, 401523.80570000037550926 5764556.40660000033676624, 401522.1650000000372529 5764551.55499999970197678, 401521.7455000001937151 5764550.31570000015199184, 401520.95700000040233135 5764547.98599999956786633, 401517.85699999984353781 5764538.81900000013411045, 401517.03100000042468309 5764536.37900000065565109, 401515.63900000043213367 5764532.26200000010430813, 401515.473000000230968 5764531.77099999971687794, 401514.98300000000745058 5764530.32200000062584877, 401513.40550000034272671 5764525.65819999948143959, 401511.45600000023841858 5764519.89599999971687794, 401508.20660000015050173 5764510.28710000030696392, 401507.3338000001385808 5764507.70610000006854534, 401500.11050000041723251 5764486.34589999914169312, 401499.90600000042468309 5764485.74100000038743019, 401488.696000000461936 5764452.59600000083446503, 401479.71999999973922968 5764426.05499999970197678, 401472.63279999978840351 5764405.09879999980330467, 401430.11309999972581863 5764424.97959999926388264, 401413.76939999964088202 5764355.42239999957382679, 401362.8030000003054738 5764344.40300000086426735, 401363.03259999956935644 5764336.31110000051558018, 401363.08040000032633543 5764334.62450000084936619, 401363.13019999954849482 5764332.86910000070929527, 401363.69099999964237213 5764313.10199999995529652, 401364.32730000000447035 5764292.18469999916851521, 401364.50499999988824129 5764286.34400000050663948, 401364.56529999990016222 5764284.3624000009149313, 401333.17559999972581863 5764279.71820000000298023, 401328.26759999990463257 5764278.60700000077486038, 401326.32290000002831221 5764276.56970000080764294, 401324.93379999976605177 5764273.51369999907910824, 401322.71129999961704016 5764267.772299999371171, 401319.97900000028312206 5764261.69299999997019768, 401319.45700000040233135 5764253.81900000013411045, 401318.42960000038146973 5764238.31330000050365925, 401318.36500000022351742 5764237.33899999968707561, 401312.6380000002682209 5764220.40899999998509884, 401312.31450000032782555 5764219.44099999964237213, 401306.98300000000745058 5764203.48599999956786633, 401301.24799999967217445 5764186.65300000086426735, 401295.22499999962747097 5764168.73799999989569187, 401304.61589999962598085 5764157.11790000088512897, 401310.8880000002682209 5764149.35700000077486038, 401317.69099999964237213 5764140.96340000070631504, 401318.33229999989271164 5764140.1721000000834465, 401318.47130000032484531 5764140.00070000067353249, 401326.375 5764130.24899999983608723, 401345.36699999962002039 5764106.8169999998062849, 401351.12000000011175871 5764099.71900000050663948, 401358.5849999999627471 5764090.51099999994039536, 401325.39900000020861626 5764063.73799999989569187, 401324.678999999538064 5764063.17799999937415123, 401314.83999999985098839 5764059.20500000007450581, 401274.10500000044703484 5764052.40699999965727329, 401252.30200000014156103 5764048.76999999955296516, 401245.11400000005960464 5764066.53399999998509884, 401222.46200000029057264 5764074.20600000023841858, 401192.98000000044703484 5764083.97699999995529652, 401181.84229999966919422 5764087.29160000011324883, 401189.06539999973028898 5764106.73850000090897083, 401197.86280000023543835 5764129.42659999988973141, 401212.21650000009685755 5764167.67219999991357327, 401226.01460000034421682 5764206.28820000030100346, 401248.36070000007748604 5764273.9448000006377697, 401241.62160000018775463 5764272.4078999999910593, 401235.17100000008940697 5764270.90899999998509884, 401187.72599999979138374 5764260.07599999941885471, 401161.71800000034272671 5764254.00300000049173832, 401134.64290000032633543 5764247.65200000070035458, 401131.29200000036507845 5764246.86600000038743019, 401132.19450000021606684 5764264.56530000083148479, 401132.22719999961555004 5764265.20710000023245811, 401133.43819999974220991 5764288.96560000069439411, 401163.95000000018626451 5764297.15799999982118607, 401187.09999999962747097 5764303.25100000016391277, 401188.91700000036507845 5764308.72100000083446503, 401196.88740000035613775 5764332.70949999988079071, 401197.36760000046342611 5764334.15469999983906746, 401205.45799999963492155 5764358.50500000081956387, 401207.93699999991804361 5764366.11299999989569187, 401209.70600000023841858 5764371.14100000075995922, 401219.02929999958723783 5764399.75400000065565109, 401225.33640000037848949 5764401.13810000009834766, 401236.75499999988824129 5764403.64399999938905239, 401256.67999999970197678 5764408.01700000092387199, 401254.94209999963641167 5764414.73670000024139881, 401251.03199999965727329 5764429.85500000044703484, 401247.64400000032037497 5764443.12299999967217445, 401245.51400000043213367 5764451.46900000050663948, 401243.22489999979734421 5764460.34610000066459179, 401242.86660000029951334 5764461.73540000058710575, 401242.51860000006854534 5764463.09960000030696392, 401235.98400000017136335 5764488.42600000090897083, 401232.46100000012665987 5764490.07799999974668026, 401222.60439999960362911 5764494.69910000078380108, 401221.30999999959021807 5764495.30599999986588955, 401240.1294999998062849 5764535.7203999999910593, 401242.89389999955892563 5764541.44569999910891056, 401244.2840999998152256 5764543.25789999961853027, 401256.22489999979734421 5764559.09630000032484531, 401257.41650000028312206 5764561.52910000085830688, 401258.65770000033080578 5764564.5328999999910593, 401258.78189999982714653 5764570.66469999961555004, 401257.83849999960511923 5764574.95940000005066395, 401256.94440000038594007 5764579.66889999993145466, 401251.2028999999165535 5764603.65350000001490116, 401237.19780000019818544 5764670.86040000058710575, 401236.47879999969154596 5764674.31059999950230122, 401231.96619999967515469 5764694.11050000041723251, 401234.25399999972432852 5764695.51799999922513962, 401239.93410000018775463 5764699.01249999925494194, 401257.3030000003054738 5764709.69800000078976154, 401292.63300000037997961 5764731.4330000001937151, 401295.36899999994784594 5764733.11600000038743019, 401298.86039999965578318 5764735.26439999975264072, 401301.17520000040531158 5764736.6886999998241663, 401325.11400000005960464 5764751.41899999976158142, 401331.70309999957680702 5764755.4732000008225441, 401335.67989999987185001 5764757.92009999975562096, 401348.24600000027567148 5764765.65200000070035458, 401347.94400000013411045 5764766.95199999958276749, 401345.1886999998241663 5764781.70509999990463257, 401344.92239999957382679 5764783.13089999929070473, 401343.88700000010430813 5764788.67500000074505806, 401343.33299999963492155 5764791.63900000043213367, 401336.49899999983608723 5764827.85099999979138374, 401341.72209999989718199 5764831.16090000048279762, 401349.15799999982118607 5764835.87299999967217445, 401364.48900000005960464 5764845.58699999935925007, 401385.24710000026971102 5764858.74080000072717667, 401386.90600000042468309 5764859.79199999943375587, 401393.22290000040084124 5764861.61749999970197678, 401394.98240000009536743 5764850.78280000016093254, 401396.92709999997168779 5764838.9294000007212162, 401397.85309999994933605 5764820.96419999934732914, 401398.40880000032484531 5764804.66579999960958958, 401398.45449999999254942 5764801.05250000022351742, 401398.5014000004157424 5764797.35009999945759773)))
